Epoch 87, Generator Loss: 1.3084945678710938, Discriminator Loss: 2.3249034881591797, Classification Accuracy: 95.98%
Epoch 88, Generator Loss: 1.3149826526641846, Discriminator Loss: 2.342275619506836, Classification Accuracy: 95.98%
Epoch 89, Generator Loss: 1.3405885696411133, Discriminator Loss: 2.414900302886963, Classification Accuracy: 95.98%
Epoch 90, Generator Loss: 1.4049451351165771, Discriminator Loss: 2.23167085647583, Classification Accuracy: 95.98%
Epoch 91, Generator Loss: 1.397079586982727, Discriminator Loss: 2.4882586002349854, Classification Accuracy: 95.98%
Epoch 92, Generator Loss: 1.469167709350586, Discriminator Loss: 2.4180421829223633, Classification Accuracy: 95.98%
Epoch 93, Generator Loss: 1.4576760530471802, Discriminator Loss: 2.1786141395568848, Classification Accuracy: 95.98%
Epoch 94, Generator Loss: 1.784559965133667, Discriminator Loss: 2.147333860397339, Classification Accuracy: 95.98%
Epoch 95, Generator Loss: 1.5405042171478271, Discriminator Loss: 2.3790595531463623, Classification Accuracy: 95.98%
Epoch 96, Generator Loss: 1.892868161201477, Discriminator Loss: 2.1163558959960938, Classification Accuracy: 95.98%
Epoch 97, Generator Loss: 2.478834390640259, Discriminator Loss: 2.3717575073242188, Classification Accuracy: 95.98%
Epoch 98, Generator Loss: 1.6880669593811035, Discriminator Loss: 2.226637840270996, Classification Accuracy: 95.98%
Epoch 99, Generator Loss: 1.8494755029678345, Discriminator Loss: 2.035076856613159, Classification Accuracy: 95.98%
Epoch 100, Generator Loss: 1.8455621004104614, Discriminator Loss: 2.3145196437835693, Classification Accuracy: 95.98%
